time,open,high,low,close
1989-02-14,185.404999,186.934998,185.214996,185.630005
1989-02-15,185.630005,187.434998,185.449997,187.414993
1989-02-16,187.414993,188.345001,187.255005,187.824997
1989-02-17,187.824997,189.440002,187.595001,188.509995
1989-02-21,188.509995,188.860001,187.324997,188.169998
1989-02-22,188.169998,188.169998,184.675003,185.759995
1989-02-23,185.759995,186.764999,184.330002,186.470001
1989-02-24,186.470001,186.794998,184.345001,184.589996
1989-02-27,184.589996,184.630005,183.240005,183.815002
1989-02-28,183.815002,185.035004,183.229996,183.789993
1989-03-01,183.789993,185.464996,183.335007,183.600006
1989-03-02,183.600006,185.544998,183.600006,185.460007
1989-03-03,185.460007,186.160004,184.934998,185.815002
1989-03-06,185.815002,187.580002,185.815002,187.505005
1989-03-07,187.505005,187.529999,185.639999,186.699997
1989-03-08,186.699997,187.684998,185.925003,186.255005
1989-03-09,186.255005,186.414993,185.104996,185.350006
1989-03-10,185.350006,185.660004,184.179993,184.994995
1989-03-13,184.994995,186.389999,184.574997,185.880005
1989-03-14,185.880005,186.535004,185.024994,185.354996
1989-03-15,185.354996,186.485001,185.074997,185.365005
1989-03-16,185.365005,187.419998,185.134995,187.134995
1989-03-17,187.134995,187.134995,181.789993,182.009995
1989-03-20,182.009995,182.009995,178.964996,179.875
1989-03-21,179.875,182.235001,179.875,182.039993
1989-03-22,182.039993,182.039993,180.195007,180.589996
1989-03-23,180.589996,181.645004,180.024994,181.039993
1989-03-27,181.039993,181.785004,180.360001,181.145004
1989-03-28,181.145004,182.570007,181.145004,182.014999
1989-03-29,182.014999,183.339996,181.664993,183.339996
1989-03-30,183.339996,184.460007,182.315002,184.365005
1989-03-31,184.365005,186.175003,184.365005,185.869995
1989-04-03,185.869995,186.785004,185.660004,185.830002
1989-04-04,185.830002,185.910004,184.449997,185.535004
1989-04-05,185.535004,186.244995,184.985001,186.089996
1989-04-06,186.089996,186.220001,185.009995,186.199997
1989-04-07,186.199997,188.595001,186.130005,188.399994
1989-04-10,188.399994,189.434998,188.309998,189.274994
1989-04-11,189.274994,191.520004,189.274994,190.910004
1989-04-12,190.910004,193.600006,190.910004,192.529999
1989-04-13,192.529999,193.449997,191.149994,191.830002
1989-04-14,191.830002,194.714996,191.824997,194.630005
1989-04-17,194.630005,195.119995,194.080002,194.589996
1989-04-18,194.589996,197.274994,194.589996,196.830002
1989-04-19,196.830002,198.720001,196.729996,198.070007
1989-04-20,198.070007,198.494995,195.804993,197.649994
1989-04-21,197.649994,199.054993,197.399994,198.860001
1989-04-24,198.860001,198.860001,197.845001,198.315002
1989-04-25,198.315002,199.300003,196.820007,197.240005
1989-04-26,197.240005,197.755005,196.675003,197.25
1989-04-27,197.25,199.809998,197.139999,199.570007
1989-04-28,199.570007,200.494995,198.809998,200.470001
1989-05-01,200.470001,201.100006,199.145004,200.75
1989-05-02,200.75,201.630005,200.154999,200.744995
1989-05-03,200.744995,202.044998,200.604996,201.585007
1989-05-04,201.585007,202.990005,201.410004,202.095001
1989-05-05,202.095001,205.255005,202.095001,203.440002
1989-05-08,203.440002,203.960007,201.850006,203.039993
1989-05-09,203.039993,204.054993,201.809998,202.684998
1989-05-10,202.684998,203.544998,202.375,203.014999
1989-05-11,203.014999,204.039993,202.770004,203.514999
1989-05-12,203.514999,207.184998,203.514999,207.154999
1989-05-15,207.154999,209.164993,207,208.895004
1989-05-16,208.895004,209.130005,207.440002,208.255005
1989-05-17,208.255005,211.294998,208.255005,210.729996
1989-05-18,210.729996,211.479996,210.195007,211.059998
1989-05-19,211.059998,213.130005,211.059998,212.610001
1989-05-22,212.610001,213.699997,211.455002,212.369995
1989-05-23,212.369995,212.440002,210.544998,210.625
1989-05-24,210.625,212.065002,209.705002,211.985001
1989-05-25,211.985001,213.770004,211.875,212.839996
1989-05-26,212.839996,214.460007,212.634995,214.434998
1989-05-30,214.434998,215.184998,212.384995,213.589996
1989-05-31,213.589996,215.065002,213.039993,214.544998
1989-06-01,214.544998,216.195007,214.039993,215.589996
1989-06-02,215.589996,218.110001,215.279999,217.789993
1989-06-05,217.789993,218.145004,213.190002,213.399994
1989-06-06,213.399994,215.050003,212.820007,214.395004
1989-06-07,214.395004,220.184998,214.395004,219.880005
1989-06-08,219.880005,220.809998,219.145004,219.389999
1989-06-09,219.389999,219.455002,217.860001,218.794998
1989-06-12,218.794998,218.794998,216.860001,218.600006
